Team,Round,Km,From,To
Jilin Northeast Tigers,22,2544,Dongguan,Changchun
Jilin Northeast Tigers,23,0,Changchun,Changchun
Jilin Northeast Tigers,24,1260,Changchun,Taiyuan
Jilin Northeast Tigers,25,2189,Taiyuan,Urumqi
Jilin Northeast Tigers,26,2998,Urumqi,Changchun
Jilin Northeast Tigers,27,1573,Changchun,Hangzhou
Jilin Northeast Tigers,28,0,Hangzhou,Hangzhou
Jilin Northeast Tigers,29,1573,Hangzhou,Changchun
Jilin Northeast Tigers,30,0,Changchun,Changchun
Jilin Northeast Tigers,31,1453,Changchun,Suzhou
Jilin Northeast Tigers,32,1453,Suzhou,Changchun
Jilin Northeast Tigers,33,0,Changchun,Changchun
Jilin Northeast Tigers,34,0,Changchun,Changchun
Jilin Northeast Tigers,35,1440,Changchun,Shanghai
Jilin Northeast Tigers,36,1440,Shanghai,Changchun
Jilin Northeast Tigers,37,2544,Changchun,Dongguan
Jilin Northeast Tigers,38,2544,Dongguan,Changchun
Jilin Northeast Tigers,39,0,Changchun,Changchun
Jilin Northeast Tigers,40,0,Changchun,Changchun
Jilin Northeast Tigers,41,1587,Changchun,Ningbo
Jilin Northeast Tigers,42,1210,Ningbo,Beijing
Liaoning Flying Leopards,1,581,Shenyang,Tianjin
Liaoning Flying Leopards,2,581,Tianjin,Shenyang
Liaoning Flying Leopards,3,627,Shenyang,Beijing
Liaoning Flying Leopards,4,627,Beijing,Shenyang
Liaoning Flying Leopards,5,0,Shenyang,Shenyang
Liaoning Flying Leopards,6,1315,Shenyang,Hangzhou
Liaoning Flying Leopards,7,1123,Hangzhou,Beijing
Liaoning Flying Leopards,8,1943,Beijing,Shenzhen
Liaoning Flying Leopards,9,2313,Shenzhen,Shenyang
Liaoning Flying Leopards,10,0,Shenyang,Shenyang
Liaoning Flying Leopards,11,1159,Shenyang,Nanjing
Liaoning Flying Leopards,12,189,Nanjing,Suzhou
Liaoning Flying Leopards,13,1195,Suzhou,Shenyang
Liaoning Flying Leopards,14,0,Shenyang,Shenyang
Liaoning Flying Leopards,15,0,Shenyang,Shenyang
Liaoning Flying Leopards,16,0,Shenyang,Shenyang
Liaoning Flying Leopards,17,1026,Shenyang,Taiyuan
Liaoning Flying Leopards,18,1026,Taiyuan,Shenyang
Liaoning Flying Leopards,19,2907,Shenyang,Urumqi
Liaoning Flying Leopards,20,2065,Urumqi,Chengdu
Liaoning Flying Leopards,21,1679,Chengdu,Ningbo
Liaoning Flying Leopards,22,1338,Ningbo,Shenyang
Liaoning Flying Leopards,23,0,Shenyang,Shenyang
Liaoning Flying Leopards,24,2313,Shenyang,Shenzhen
Liaoning Flying Leopards,25,2313,Shenzhen,Shenyang
Liaoning Flying Leopards,26,2274,Shenyang,Dongguan
Liaoning Flying Leopards,27,2274,Dongguan,Shenyang
Liaoning Flying Leopards,28,0,Shenyang,Shenyang
Liaoning Flying Leopards,29,0,Shenyang,Shenyang
Liaoning Flying Leopards,30,272,Shenyang,Changchun
Liaoning Flying Leopards,31,2551,Changchun,Guangzhou
Liaoning Flying Leopards,32,568,Guangzhou,Jinjiang
Liaoning Flying Leopards,33,1946,Jinjiang,Shenyang
Liaoning Flying Leopards,34,1315,Shenyang,Hangzhou
Liaoning Flying Leopards,35,1315,Hangzhou,Shenyang
Liaoning Flying Leopards,36,0,Shenyang,Shenyang
Liaoning Flying Leopards,37,690,Shenyang,Qingdao
Liaoning Flying Leopards,38,310,Qingdao,Jinan
Liaoning Flying Leopards,39,797,Jinan,Shenyang
Liaoning Flying Leopards,40,0,Shenyang,Shenyang
Liaoning Flying Leopards,41,1189,Shenyang,Shanghai
Liaoning Flying Leopards,42,85,Shanghai,Suzhou
Nanjing Monkey Kings,1,1121,Nanjing,Dongguan
Nanjing Monkey Kings,2,1121,Dongguan,Nanjing
Nanjing Monkey Kings,3,469,Nanjing,Qingdao
Nanjing Monkey Kings,4,1632,Qingdao,Chengdu
Nanjing Monkey Kings,5,1408,Chengdu,Nanjing
Nanjing Monkey Kings,6,0,Nanjing,Nanjing
Nanjing Monkey Kings,7,0,Nanjing,Nanjing
Nanjing Monkey Kings,8,237,Nanjing,Hangzhou
Nanjing Monkey Kings,9,237,Hangzhou,Nanjing
Nanjing Monkey Kings,10,0,Nanjing,Nanjing
Nanjing Monkey Kings,11,0,Nanjing,Nanjing
Nanjing Monkey Kings,12,358,Nanjing,Ningbo
Nanjing Monkey Kings,13,864,Ningbo,Jinan
Nanjing Monkey Kings,14,536,Jinan,Nanjing
Nanjing Monkey Kings,15,0,Nanjing,Nanjing
Nanjing Monkey Kings,16,820,Nanjing,Tianjin
Nanjing Monkey Kings,17,1623,Tianjin,Jinjiang
Nanjing Monkey Kings,18,568,Jinjiang,Guangzhou
Nanjing Monkey Kings,19,104,Guangzhou,Shenzhen
Nanjing Monkey Kings,20,1157,Shenzhen,Nanjing
Nanjing Monkey Kings,21,0,Nanjing,Nanjing
