Team,Round,Km,From,To
Jilin Northeast Tigers,16,0,Changchun,Changchun
Xinjiang Flying Tigers,16,828,Tianjin,Changchun
Liaoning Flying Leopards,16,797,Jinan,Shenyang
Ningbo Rockets,16,690,Qingdao,Shenyang
Shandong Hi-Speed Kirin,16,0,Jinan,Jinan
Beijing Royal Fighters,16,365,Beijing,Jinan
Beijing Ducks,16,0,Beijing,Beijing
Shenzhen Leopards,16,1525,Chengdu,Beijing
Sichuan Blue Whales,16,0,Chengdu,Chengdu
Nanjing Monkey Kings,16,2378,Changchun,Chengdu
Zhejiang Golden Bulls,16,631,Jinjiang,Hangzhou
Fujian Sturgeons,16,631,Jinjiang,Hangzhou
Guangdong Southern Tigers,16,1027,Hangzhou,Dongguan
Qingdao Eagles,16,1585,Qingdao,Dongguan
Jiangsu Dragons,16,1161,Guangzhou,Suzhou
Guangzhou Loong Lions,16,1161,Guangzhou,Suzhou
Tianjin Pioneers,16,0,Tianjin,Tianjin
Shanxi Loongs,16,103,Beijing,Tianjin
Zhejiang Guangsha Lions,16,0,Hangzhou,Hangzhou
Shanghai Sharks,16,1123,Beijing,Hangzhou
Tianjin Pioneers,17,0,Tianjin,Tianjin
Fujian Sturgeons,17,1040,Hangzhou,Tianjin
Zhejiang Golden Bulls,17,0,Hangzhou,Hangzhou
Guangzhou Loong Lions,17,121,Suzhou,Hangzhou
Beijing Royal Fighters,17,365,Jinan,Beijing
Jiangsu Dragons,17,1028,Suzhou,Beijing
Guangdong Southern Tigers,17,0,Dongguan,Dongguan
Shanghai Sharks,17,1027,Hangzhou,Dongguan
Qingdao Eagles,17,1585,Dongguan,Qingdao
Jilin Northeast Tigers,17,959,Changchun,Qingdao
Liaoning Flying Leopards,17,0,Shenyang,Shenyang
Xinjiang Flying Tigers,17,272,Changchun,Shenyang
Nanjing Monkey Kings,17,1408,Chengdu,Nanjing
Shenzhen Leopards,17,898,Beijing,Nanjing
Beijing Ducks,17,0,Beijing,Beijing
Shanxi Loongs,17,103,Tianjin,Beijing
Sichuan Blue Whales,17,0,Chengdu,Chengdu
Zhejiang Guangsha Lions,17,1542,Hangzhou,Chengdu
Shandong Hi-Speed Kirin,17,0,Jinan,Jinan
Ningbo Rockets,17,797,Shenyang,Jinan
Jiangsu Dragons,18,1028,Beijing,Suzhou
Shandong Hi-Speed Kirin,18,681,Jinan,Suzhou
Sichuan Blue Whales,18,0,Chengdu,Chengdu
Jilin Northeast Tigers,18,1632,Qingdao,Chengdu
Zhejiang Guangsha Lions,18,1542,Chengdu,Hangzhou
Guangzhou Loong Lions,18,0,Hangzhou,Hangzhou
Qingdao Eagles,18,0,Qingdao,Qingdao
Zhejiang Golden Bulls,18,644,Hangzhou,Qingdao
Liaoning Flying Leopards,18,0,Shenyang,Shenyang
Shenzhen Leopards,18,1159,Nanjing,Shenyang
Shanghai Sharks,18,1190,Dongguan,Shanghai
Xinjiang Flying Tigers,18,1189,Shenyang,Shanghai
Shanxi Loongs,18,403,Beijing,Taiyuan
Fujian Sturgeons,18,449,Tianjin,Taiyuan
Beijing Ducks,18,0,Beijing,Beijing
Ningbo Rockets,18,365,Jinan,Beijing
Beijing Royal Fighters,18,0,Beijing,Beijing
Guangdong Southern Tigers,18,1894,Dongguan,Beijing
Nanjing Monkey Kings,18,0,Nanjing,Nanjing
Tianjin Pioneers,18,820,Tianjin,Nanjing
Beijing Royal Fighters,19,0,Beijing,Beijing
Jilin Northeast Tigers,19,1525,Chengdu,Beijing
Guangdong Southern Tigers,19,1894,Beijing,Dongguan
Tianjin Pioneers,19,1121,Nanjing,Dongguan
Shanxi Loongs,19,0,Taiyuan,Taiyuan
Beijing Ducks,19,403,Beijing,Taiyuan
Nanjing Monkey Kings,19,0,Nanjing,Nanjing
Xinjiang Flying Tigers,19,270,Shanghai,Nanjing
Qingdao Eagles,19,0,Qingdao,Qingdao
Zhejiang Guangsha Lions,19,644,Hangzhou,Qingdao
Shanghai Sharks,19,0,Shanghai,Shanghai
Guangzhou Loong Lions,19,165,Hangzhou,Shanghai
Sichuan Blue Whales,19,0,Chengdu,Chengdu
Liaoning Flying Leopards,19,2132,Shenyang,Chengdu
Fujian Sturgeons,19,1562,Taiyuan,Jinjiang
Shenzhen Leopards,19,1946,Shenyang,Jinjiang
Jiangsu Dragons,19,0,Suzhou,Suzhou
Zhejiang Golden Bulls,19,531,Qingdao,Suzhou
Ningbo Rockets,19,1210,Beijing,Ningbo
Shandong Hi-Speed Kirin,19,184,Suzhou,Ningbo
Beijing Ducks,20,403,Taiyuan,Beijing
Beijing Royal Fighters,20,0,Beijing,Beijing
Qingdao Eagles,20,0,Qingdao,Qingdao
Guangzhou Loong Lions,20,547,Shanghai,Qingdao
Shandong Hi-Speed Kirin,20,864,Ningbo,Jinan
Zhejiang Guangsha Lions,20,310,Qingdao,Jinan
Shanxi Loongs,20,0,Taiyuan,Taiyuan
Guangdong Southern Tigers,20,1655,Dongguan,Taiyuan
Sichuan Blue Whales,20,0,Chengdu,Chengdu
Fujian Sturgeons,20,1563,Jinjiang,Chengdu
Shanghai Sharks,20,0,Shanghai,Shanghai
Zhejiang Golden Bulls,20,85,Suzhou,Shanghai
Liaoning Flying Leopards,20,2132,Chengdu,Shenyang
Xinjiang Flying Tigers,20,1159,Nanjing,Shenyang
Nanjing Monkey Kings,20,0,Nanjing,Nanjing
Shenzhen Leopards,20,810,Jinjiang,Nanjing
Jilin Northeast Tigers,20,856,Beijing,Changchun
Tianjin Pioneers,20,2544,Dongguan,Changchun
Jiangsu Dragons,20,0,Suzhou,Suzhou
Ningbo Rockets,20,184,Ningbo,Suzhou
Shenzhen Leopards,21,1157,Nanjing,Shenzhen
Liaoning Flying Leopards,21,2313,Shenyang,Shenzhen
Beijing Royal Fighters,21,0,Beijing,Beijing
Shanghai Sharks,21,1067,Shanghai,Beijing
Jiangsu Dragons,21,0,Suzhou,Suzhou
Qingdao Eagles,21,531,Qingdao,Suzhou
Beijing Ducks,21,0,Beijing,Beijing
Zhejiang Guangsha Lions,21,365,Jinan,Beijing
Tianjin Pioneers,21,828,Changchun,Tianjin
Guangdong Southern Tigers,21,449,Taiyuan,Tianjin
Zhejiang Golden Bulls,21,165,Shanghai,Hangzhou
Nanjing Monkey Kings,21,237,Nanjing,Hangzhou
Xinjiang Flying Tigers,21,2907,Shenyang,Urumqi
Guangzhou Loong Lions,21,2902,Qingdao,Urumqi
Jilin Northeast Tigers,21,0,Changchun,Changchun
Fujian Sturgeons,21,2378,Chengdu,Changchun
Sichuan Blue Whales,21,0,Chengdu,Chengdu
Ningbo Rockets,21,1576,Suzhou,Chengdu
Shanxi Loongs,21,0,Taiyuan,Taiyuan
Shandong Hi-Speed Kirin,21,416,Jinan,Taiyuan
Shandong Hi-Speed Kirin,22,416,Taiyuan,Jinan
Jiangsu Dragons,22,681,Suzhou,Jinan
Shanghai Sharks,22,1067,Beijing,Shanghai
Beijing Royal Fighters,22,1067,Beijing,Shanghai
Shenzhen Leopards,22,0,Shenzhen,Shenzhen
Liaoning Flying Leopards,22,0,Shenzhen,Shenzhen
Beijing Ducks,22,0,Beijing,Beijing
Sichuan Blue Whales,22,1525,Chengdu,Beijing
Tianjin Pioneers,22,0,Tianjin,Tianjin
