Round,Home Team,Away Team
18,Zhejiang Guangsha Lions,Guangzhou Loong Lions
18,Qingdao Eagles,Zhejiang Golden Bulls
18,Liaoning Flying Leopards,Shenzhen Leopards
18,Shanghai Sharks,Xinjiang Flying Tigers
18,Shanxi Loongs,Fujian Sturgeons
18,Beijing Ducks,Ningbo Rockets
18,Beijing Royal Fighters,Guangdong Southern Tigers
18,Nanjing Monkey Kings,Tianjin Pioneers
19,Beijing Royal Fighters,Jilin Northeast Tigers
19,Guangdong Southern Tigers,Tianjin Pioneers
19,Shanxi Loongs,Beijing Ducks
19,Nanjing Monkey Kings,Xinjiang Flying Tigers
19,Qingdao Eagles,Zhejiang Guangsha Lions
19,Shanghai Sharks,Guangzhou Loong Lions
19,Sichuan Blue Whales,Liaoning Flying Leopards
19,Fujian Sturgeons,Shenzhen Leopards
19,Jiangsu Dragons,Zhejiang Golden Bulls
19,Ningbo Rockets,Shandong Hi-Speed Kirin
20,Beijing Ducks,Beijing Royal Fighters
20,Qingdao Eagles,Guangzhou Loong Lions
20,Shandong Hi-Speed Kirin,Zhejiang Guangsha Lions
20,Shanxi Loongs,Guangdong Southern Tigers
20,Sichuan Blue Whales,Fujian Sturgeons
20,Shanghai Sharks,Zhejiang Golden Bulls
20,Liaoning Flying Leopards,Xinjiang Flying Tigers
20,Nanjing Monkey Kings,Shenzhen Leopards
20,Jilin Northeast Tigers,Tianjin Pioneers
20,Jiangsu Dragons,Ningbo Rockets
21,Shenzhen Leopards,Liaoning Flying Leopards
21,Beijing Royal Fighters,Shanghai Sharks
21,Jiangsu Dragons,Qingdao Eagles
21,Beijing Ducks,Zhejiang Guangsha Lions
21,Tianjin Pioneers,Guangdong Southern Tigers
21,Zhejiang Golden Bulls,Nanjing Monkey Kings
21,Xinjiang Flying Tigers,Guangzhou Loong Lions
21,Jilin Northeast Tigers,Fujian Sturgeons
21,Sichuan Blue Whales,Ningbo Rockets
21,Shanxi Loongs,Shandong Hi-Speed Kirin
22,Shandong Hi-Speed Kirin,Jiangsu Dragons
22,Shanghai Sharks,Beijing Royal Fighters
22,Shenzhen Leopards,Liaoning Flying Leopards
22,Beijing Ducks,Sichuan Blue Whales
22,Tianjin Pioneers,Zhejiang Golden Bulls
22,Zhejiang Guangsha Lions,Nanjing Monkey Kings
